Edad,Genero,NivelEducativo,RamaPrincipal,AñosExperiencia,AñosExperienciaPro,HaTrabajadoCon,PuntajesTecnologias,HabilidadesComputacionales,SalarioAnterior,Puntaje,Contratacion
35,Mujer,Universitario,Desarrollo,13,0,Kubernetes|Python|JavaScript|React,15,3.4,1851918.75,2.107084750527492,1
37,Hombre,Universitario,Ciberseguridad,13,10,Kubernetes|Python,9,4.5,3145725.0,3.2509283754731673,1
42,Mujer,Universitario,Desarrollo,15,8,React|Kubernetes|Java,18,5.6,2954091.0000000005,3.0123220087881326,1
35,Hombre,Técnico,Soporte,10,2,Java|Python|SQL|AWS,32,5.6,2768976.0,2.646931801225723,1
34,Mujer,Técnico,Desarrollo,11,7,AWS,8,3.1,1287085.7759999998,1.6111102270679645,0
24,Mujer,Magister,Desarrollo,6,5,Angular|C++,10,3.9,1932999.1199999999,1.9320771953511482,1
30,Hombre,Técnico,Soporte,11,7,AWS,3,2.4,1458091.2000000002,1.2700347266200516,0
28,Hombre,Universitario,Soporte,6,0,React|Java|C++|Angular,23,4.8,2638350.0,2.0839872038733893,1
41,Hombre,Magister,Desarrollo,16,4,R|Python,16,4.8,4367779.2,3.5088417795129017,1
22,Hombre,Universitario,Soporte,4,4,Node.js|AWS,9,3.2,1756440.0,1.7011305113779545,0
29,Mujer,Universitario,Infraestructura,11,8,Angular|C++|SQL|Java,14,4.9,2338131.6,1.9707797962879114,1
18,Mujer,Técnico,Soporte,0,0,R,7,1.8,560289.6,0.45524236988940747,0
30,Hombre,Técnico,Ciberseguridad,12,5,Docker,5,2.3,1479936.0,1.7518407963477154,1
32,Hombre,Magister,Ciberseguridad,10,8,C++|Docker,15,5.5,4102542.0000000005,4.158407811036579,1
41,Hombre,Universitario,Análisis de Datos,12,5,SQL|C++|Angular,21,5.5,3640800.0,3.0050730375663903,1
36,Hombre,Universitario,Desarrollo,10,2,Angular,10,3.0,2066400.0000000002,1.7493151364953734,1
30,Hombre,Técnico,Ciberseguridad,11,4,R|AWS,16,3.7,2031566.4000000001,2.3932924720081763,1
40,Hombre,Técnico,Infraestructura,12,11,JavaScript|SQL|AWS,17,5.0,2689075.1999999997,2.5260921053684897,1
32,Mujer,Magister,Desarrollo,9,9,Angular|Kubernetes|AWS|Python,24,7.5,3771503.2440000004,4.521300734441894,1
35,Hombre,Técnico,Desarrollo,13,2,SQL,1,1.3,1032609.6,1.0009359700911487,0
28,Hombre,Universitario,Desarrollo,5,4,React|SQL,12,3.7,2060250.0000000002,2.242788229474355,1
27,Mujer,Técnico,Ciberseguridad,9,2,JavaScript,8,2.3,954072.6240000001,1.250511474578592,0
30,Hombre,Universitario,Infraestructura,10,6,AWS|Node.js|R|Kubernetes,27,6.8,4077450.0,4.63212372913445,1
30,No Binario,Magister,Infraestructura,12,9,R,4,3.6,2265293.952,1.6439049588167336,0
30,No Binario,Universitario,Desarrollo,11,11,SQL|Python,16,5.9,2727820.1999999997,2.7456694811283944,1
42,Hombre,Técnico,Infraestructura,9,0,Python|Kubernetes|Angular|C++,15,2.9,1569480.0000000002,1.5639941214043271,0
36,Hombre,Universitario,Soporte,11,9,R|JavaScript|AWS,14,5.1,3317309.9999999995,2.9271994083625326,1
21,Hombre,Universitario,Desarrollo,3,3,Angular|JavaScript|SQL,13,3.7,1881284.9999999998,2.0083648079621272,1
36,Hombre,Universitario,Ciberseguridad,12,4,Angular|R|AWS,18,4.8,3227520.0000000005,3.1929280335435366,1
27,Hombre,Magister,Soporte,9,2,Node.js|SQL|Kubernetes|Java,22,5.5,3942248.4000000004,3.460365099015919,1
30,Hombre,Universitario,Soporte,7,7,R|Angular,8,3.7,2191859.9999999995,1.6927948898120078,0
30,Hombre,Magister,Infraestructura,12,0,Angular|Java|React|SQL,13,3.3,2869344.0,2.124891057450655,1
31,Hombre,Universitario,Soporte,7,4,Kubernetes|Python|SQL|React,23,5.6,3138345.0,3.192624091369092,1
28,Hombre,Técnico,Desarrollo,10,7,R|React,7,3.0,1647216.0000000002,1.7714189025659963,1
33,Mujer,Técnico,Soporte,11,7,Docker|Node.js|Angular,22,5.0,1910587.536,1.8895231046128227,1
27,Hombre,Técnico,Desarrollo,5,5,Kubernetes|Docker,8,2.8,1303800.0,1.5559703286073474,0
36,Hombre,Magister,Desarrollo,14,2,Angular|JavaScript,14,3.9,3517898.4000000004,2.925520472195587,1
46,Hombre,Universitario,Desarrollo,14,8,Kubernetes|Angular|React,9,4.0,2990130.000000001,2.6905961374672893,1
23,No Binario,Universitario,Soporte,4,4,JavaScript|C++|SQL,23,5.6,2036437.2,1.8625844960473792,1
33,Hombre,Técnico,Infraestructura,8,6,C++|Java,9,3.1,1581484.8000000003,1.3799757790962113,0
19,Mujer,Técnico,Desarrollo,1,1,Python,5,1.7,564168.5279999999,0.6718958431384404,0
30,Mujer,Universitario,Desarrollo,11,6,Docker|React,12,4.1,2031947.7,2.2387789144684587,1
38,Hombre,Universitario,Soporte,8,5,Docker,1,2.0,1463700.0,1.1295931357709574,0
35,Mujer,Técnico,Soporte,13,4,Angular|React|C++|R,25,5.0,2005405.776,1.681592586066198,0
35,Hombre,Universitario,Infraestructura,10,3,R|C++|Java|Python,23,5.4,3376350.0,3.1406549188364363,1
39,Hombre,Técnico,Ciberseguridad,12,7,R,4,2.5,1568102.4000000001,1.538146011117688,0
47,Hombre,Técnico,Infraestructura,16,0,Java|Kubernetes,15,2.9,1948320.0000000002,1.6733426389864723,0
43,Hombre,Universitario,Desarrollo,11,5,Python|Kubernetes|C++|JavaScript,20,5.3,3431700.0,3.820525882970165,1
32,Hombre,Técnico,Soporte,8,2,Java|Docker|Kubernetes|React,21,4.1,1978233.5999999999,2.0546040541826587,1
24,Mujer,Doctorado,Desarrollo,6,5,Docker|React|Kubernetes,13,4.8,2807673.4400000004,2.7054041372486397,1
32,Hombre,Técnico,Infraestructura,8,5,Kubernetes|Docker|Java|Angular,15,3.7,1845984.0,2.089293731424663,1
30,Hombre,Técnico,Desarrollo,10,9,SQL|C++|Node.js|Kubernetes,12,4.0,2084112.0,2.098816215282631,1
37,Hombre,Técnico,Infraestructura,8,8,Angular|C++|SQL|Docker,16,4.4,2099462.4000000004,1.9706567790323988,1
29,Hombre,Universitario,Infraestructura,6,6,Node.js,8,3.5,2014740.0,1.8688790802436948,1
31,Mujer,Universitario,Infraestructura,6,6,C++|SQL|AWS,13,4.3,1762577.7,1.9685487840687201,1
39,Hombre,Universitario,Desarrollo,14,5,Kubernetes|JavaScript|Java,14,4.3,3136500.000000001,3.184101538799296,1
34,Hombre,Técnico,Infraestructura,11,5,C++|R,6,2.5,1494696.0000000002,1.3070735013567527,0
30,Hombre,Técnico,Desarrollo,12,0,Node.js|C++,11,2.3,1479936.0,1.3650347219472325,0
40,Hombre,Universitario,Desarrollo,13,8,R,7,3.7,2699235.0,2.4092109372229094,1
25,Hombre,Universitario,Desarrollo,5,5,AWS|Kubernetes|Docker|R,16,4.6,2460000.0,2.8192868250941117,1
30,Mujer,Universitario,Soporte,11,10,C++,7,4.1,2018030.25,1.4157958920068618,0
34,Hombre,Técnico,Infraestructura,7,3,R|React|Python|Node.js,11,2.8,1439985.6,1.3867993311729028,0
32,Mujer,Universitario,Ciberseguridad,10,10,Python|AWS|SQL|R,21,6.5,2895727.5,3.5668860959890725,1
35,Hombre,Magister,Soporte,13,5,Kubernetes|Node.js|React|C++,11,4.1,3494799.0,2.5961290753311914,1
38,Hombre,Técnico,Ciberseguridad,9,3,C++|SQL|R|Docker,19,4.0,2003227.2000000002,2.401414663998388,1
34,Hombre,Universitario,Infraestructura,10,10,R,4,3.6,2398500.0,1.8007289540553457,1
30,Mujer,Técnico,Desarrollo,6,6,Angular|Node.js|R,17,4.2,1370841.8879999998,1.7453052431732183,1
29,Mujer,Magister,Desarrollo,11,11,Docker|Java,18,6.8,3700928.3040000005,3.60055542985382,1
31,Hombre,Universitario,Ciberseguridad,8,6,R,10,3.8,2341920.0,2.3181570278135117,1
35,Mujer,Magister,Infraestructura,10,9,JavaScript,10,4.8,2657065.68,2.4906598233618436,1
28,Mujer,Universitario,Soporte,8,8,Java|Docker|Node.js|Python,27,7.2,2928949.8,3.271375464072659,1
39,Hombre,Técnico,Soporte,11,4,R|AWS|C++,23,4.7,2458622.4000000004,2.395095727161522,1
35,Hombre,Magister,Desarrollo,10,7,AWS|Node.js|R|SQL,28,7.8,5539427.999999999,5.449922667461141,1
32,Hombre,Técnico,Desarrollo,9,6,SQL|JavaScript|Docker|Python,24,5.1,2494046.4,3.10754676536467,1
38,Hombre,Técnico,Ciberseguridad,12,9,AWS,10,3.7,2097100.7999999998,2.6388048043383012,1
28,Mujer,Universitario,Desarrollo,8,1,Angular|JavaScript,5,1.9,1018218.6,1.1794798345090338,0
35,Mujer,Universitario,Desarrollo,7,7,Python,4,3.0,1357624.8,1.635651921816558,0
36,Hombre,Magister,Soporte,11,9,C++|Python,12,5.2,4012801.2,2.793025166976216,1
32,Hombre,Técnico,Desarrollo,10,3,C++|Java,16,3.5,1895184.0,1.7933843815557333,1
37,Hombre,Universitario,Soporte,9,2,Angular|JavaScript|React|C++,22,5.1,3067620.0,2.6549342089457677,1
34,Mujer,Universitario,Soporte,9,0,Node.js|SQL|AWS|Java,17,3.8,1757639.25,1.594202558776237,0
37,Mujer,Técnico,Soporte,13,13,Java,2,3.3,1427014.5120000003,1.201051293031734,0
36,Mujer,Técnico,Desarrollo,11,3,JavaScript|React|Python,24,4.6,1785887.1840000001,2.5687571373247593,1
34,Mujer,Técnico,Desarrollo,9,9,React|Angular|R,14,4.3,1554013.4880000001,1.7395490948036858,1
29,Hombre,Técnico,Infraestructura,8,5,Node.js|C++|JavaScript|Angular,25,5.1,2397024.0,2.425430773576039,1
47,Hombre,Doctorado,Desarrollo,20,10,Node.js,3,3.9,5051200.0,2.7645514170907717,1
27,Hombre,Universitario,Desarrollo,6,6,Angular|React|JavaScript,14,4.5,2494440.0,2.416314885301091,1
36,Mujer,Universitario,Desarrollo,8,8,AWS,10,4.2,1860448.8,2.22358371371075,1
37,Hombre,Doctorado,Desarrollo,12,11,Angular|AWS|JavaScript|Kubernetes,24,8.6,7885644.800000002,6.788363035206794,1
29,Hombre,Técnico,Desarrollo,8,6,Python|R|Docker,17,4.2,2022316.8,2.4180783252846267,1
34,Hombre,Universitario,Soporte,7,7,R,9,3.8,2274885.0,1.682674287605899,0
31,Mujer,Universitario,Desarrollo,6,6,Angular|Docker|Java,16,4.8,1937668.2,1.8837953760145247,1
41,Hombre,Magister,Desarrollo,14,14,Java|Kubernetes|SQL|Angular,23,8.4,6747238.800000002,5.530974938916233,1
31,Hombre,Técnico,Ciberseguridad,10,6,Docker|R|React|SQL,19,4.5,2284848.0,2.7102709899274586,1
33,Hombre,Magister,Análisis de Datos,13,0,C++|JavaScript|SQL,11,2.9,2691117.0,2.3149381508767646,1
20,Mujer,Técnico,Desarrollo,2,2,C++|Docker|React|R,24,4.5,1229476.512,1.6735777895463506,0
40,Mujer,Técnico,Desarrollo,9,3,Python|Docker|AWS,17,3.7,1379030.736,2.0226422087710776,1
29,Hombre,Universitario,Infraestructura,7,6,Docker|C++,11,4.0,2341305.0,2.448370101774377,1
33,Mujer,Técnico,Soporte,11,10,SQL|AWS|Node.js,17,4.8,1848237.3599999999,1.8845500243041218,1
34,Hombre,Universitario,Soporte,11,8,Kubernetes|Python|Node.js,12,4.6,3012270.0,2.665561137502952,1
34,Hombre,Universitario,Ciberseguridad,10,3,JavaScript|C++,2,1.8,1439100.0,1.458661564192372,0
36,Mujer,Universitario,Desarrollo,8,5,Docker|Kubernetes|C++|Node.js,5,2.7,1319913.0,1.3706942971579372,0
43,Hombre,Técnico,Infraestructura,13,1,Docker|Python|JavaScript|SQL,21,3.9,2253556.8000000003,2.471340140781946,1
33,Mujer,Técnico,Desarrollo,6,6,R|C++,6,2.6,959962.848,0.9140779972841294,0
35,Mujer,Técnico,Ciberseguridad,9,9,Angular|React|AWS,18,4.8,1720663.7280000001,2.3445819320729595,1
36,Hombre,Universitario,Soporte,12,1,Kubernetes|Node.js|AWS|R,26,5.5,3660479.9999999995,3.2538049356843692,1
40,Hombre,Técnico,Análisis de Datos,12,12,AWS|Docker|SQL,10,4.2,2323814.4,2.261049728705839,1
32,Hombre,Técnico,Desarrollo,7,5,SQL|C++|JavaScript,15,3.7,1780056.0,1.718630243918334,0
40,Hombre,Técnico,Desarrollo,14,7,AWS|JavaScript,14,3.9,2335228.8000000003,2.6426607546013585,1
40,Hombre,Técnico,Infraestructura,11,4,C++|Node.js,10,2.9,1665518.4000000001,1.44064781792478,0
35,No Binario,Universitario,Soporte,13,7,SQL|React|Kubernetes|Node.js,17,5.2,2622316.9499999997,2.3654358062385965,1
31,Hombre,Magister,Soporte,9,6,C++,10,4.1,3094729.2,2.083407379760216,1
31,Mujer,Técnico,Desarrollo,9,0,C++|AWS|Java,27,4.6,1645671.1199999999,1.920956735073955,1
36,Hombre,Universitario,Desarrollo,12,10,Python|Kubernetes|Java,22,6.7,4329600.0,4.663175747019842,1
25,Mujer,Universitario,Infraestructura,7,2,Python|Node.js|Kubernetes,8,2.6,1236408.3,1.2336901187164437,0
42,Hombre,Universitario,Desarrollo,9,9,Node.js|Java|Docker,24,6.9,3995039.9999999995,4.236314823019849,1
34,Hombre,Universitario,Soporte,10,5,Python,1,2.0,1568250.0,1.1554005518230464,0
36,Hombre,Universitario,Infraestructura,9,6,Docker|Node.js|Angular,21,5.7,3406485.0,3.3280868120012403,1
32,Hombre,Universitario,Soporte,10,7,Java|Python|SQL,17,5.2,3265650.0,2.7097249535152224,1
25,Mujer,Técnico,Infraestructura,7,6,JavaScript|Node.js|R|Docker,20,4.6,1539934.4160000002,1.9482709046532902,1
31,Hombre,Universitario,Soporte,7,7,React,1,2.4,1610685.0,1.2949813452723566,0
36,Hombre,Universitario,Desarrollo,11,3,Java,1,1.6,1391745.0,1.2084466996449057,0
38,Hombre,Técnico,Soporte,12,10,React|SQL,9,3.7,2109696.0,1.724626060707738,0
35,Hombre,Técnico,Desarrollo,9,1,C++,7,2.0,1181390.4,1.2257603286818872,0
33,Mujer,Doctorado,Infraestructura,10,2,Kubernetes,6,2.6,1983281.52,1.676831627609258,0
28,No Binario,Universitario,Desarrollo,10,8,React|Node.js|Angular|C++,23,6.5,2868790.5,2.7409055401510005,1
34,Mujer,Universitario,Infraestructura,11,10,Docker|Node.js|SQL|R,24,7.1,3201013.5,2.8932507114823918,1
42,Hombre,Magister,Desarrollo,15,7,React|Node.js|Python,19,6.0,5184081.0,4.357765121471812,1
38,Hombre,Universitario,Desarrollo,8,8,C++,4,3.2,2031960.0,1.7024852580662804,0
